Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
RELIANCE,RELIANCE INDUSTRIES LIMITED (XBOM:500325),157706937.8,RELIANCE.NS
TCS,TATA CONSULTANCY SERVICES LIMITED (XNSE:TCS),117305528,TCS.NS
HDFCBANK,HDFC BANK LIMITED (XNSE:HDFCBANK),89808750.01,HDFCBANK.NS
ICICIBANK,ICICI BANK LIMITED (XNSE:ICICIBANK),61248250.45,ICICIBANK.NS
HINDUNILVR,HINDUSTAN UNILEVER LIMITED (XNSE:HINDUNILVR),60157759.88,HINDUNILVR.NS
INFY,INFOSYS LIMITED (XNSE:INFY),59239363.15,INFY.NS
HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED (XNSE:HDFC),48048335.39,HDFC.NS
ITC,ITC LIMITED (XNSE:ITC),47632201.22,ITC.NS
SBIN,State Bank of India (XNSE:SBIN),46742655,SBIN.NS
BHARTIARTL,Bharti Airtel Limited (XNSE:AIRTELPP),41757758.53,BHARTIARTL.NS
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED (XNSE:KOTAKBANK),34423149.07,KOTAKBANK.NS
BAJFINANCE,BAJAJ FINANCE LIMITED (XNSE:BAJFINANCE),34005446.44,BAJFINANCE.NS
LICI,Life Insurance Corporation of India (XNSE:LICI),33797625.22,LICI.NS
LT,Larsen & Toubro Limited,30416456.17,LT.NS
HCLTECH,HCL TECHNOLOGIES LIMITED (XNSE:HCLTECH),29450050.45,HCLTECH.NS
ASIANPAINT,ASIAN PAINTS LIMITED (XNSE:ASIANPAINT),26489685.77,ASIANPAINT.NS
AXISBANK,Axis Bank Limited (XNSE:AXISBANK),26412099.82,AXISBANK.NS
MARUTI,MARUTI SUZUKI INDIA LIMITED (XNSE:MARUTI),25048931.7,MARUTI.NS
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED (XNSE:SUNPHARMA),23587862.09,SUNPHARMA.NS
TITAN,TITAN COMPANY LIMITED (XBOM:500114),22326934.14,TITAN.NS
DMART,AVENUE SUPERMARTS LIMITED (XNSE:DMART),22031141.13,DMART.NS
ULTRACEMCO,ULTRATECH CEMENT LIMITED (XNSE:ULTRACEMCO),22003819.65,ULTRACEMCO.NS
BAJAJFINSV,Bajaj Finserv Limited (XNSE:BAJAJFINSV),20173007.8,BAJAJFINSV.NS
WIPRO,WIPRO LIMITED (XNSE:WIPRO),20044619.55,WIPRO.NS
ADANIENT,ADANI ENTERPRISES LIMITED (XNSE:ADANIENT),19955149.62,ADANIENT.NS
ONGC,OIL AND NATURAL GAS CORPORATION LIMITED (XBOM:500312),19002511.74,ONGC.NS
NTPC,NTPC LIMITED (XNSE:NTPC),16978862.4,NTPC.NS
JSWSTEEL,JSW Steel Limited (XNSE:JSWSTEEL),16632893.85,JSWSTEEL.NS
POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED (XNSE:POWERGRID),15743597.11,POWERGRID.NS
M&M,Mahindra & Mahindra Limited,14408768.56,M&M.NS
LTIM,LTIMINDTREE LIMITED (XNSE:LTIM),14079902.96,LTIM.NS
TATAMOTORS,TATA MOTORS LIMITED (XNSE:TATAMTRDVR),13976216.92,TATAMOTORS.NS
ADANIGREEN,ADANI GREEN ENERGY LIMITED (XNSE:ADANIGREEN),13957702.18,ADANIGREEN.NS
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED (XNSE:ADANIPORTS),13649917.99,ADANIPORTS.NS
COALINDIA,COAL INDIA LTD (XNSE:COALINDIA),13166669.07,COALINDIA.NS
TATASTEEL,TATA STEEL LIMITED (XNSE:TATASTLPP),12771501.6,TATASTEEL.NS
HINDZINC,HINDUSTAN ZINC LIMITED (XNSE:HINDZINC),12394973.29,HINDZINC.NS
PIDILITIND,PIDILITE INDUSTRIES LIMITED (XNSE:PIDILITIND),11960634.07,PIDILITIND.NS
SIEMENS,SIEMENS LIMITED (XNSE:SIEMENS),11848655.06,SIEMENS.NS
ADANITRANS,ADANI TRANSMISSION LIMITED (XNSE:ADANITRANS),11077400.09,ADANITRANS.NS
SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED (XNSE:SBILIFE),11020676.35,SBILIFE.NS
IOC,INDIAN OIL CORPORATION LIMITED (XBOM:530965),11000444.7,IOC.NS
BAJAJ-AUTO,Bajaj Auto Limited,10992185.96,BAJAJ-AUTO.NS
GRASIM,GRASIM INDUSTRIES LTD (XBOM:500300),10750221.32,GRASIM.NS
TECHM,TECH MAHINDRA LIMITED (XNSE:TECHM),10733643.95,TECHM.NS
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED (XNSE:HDFCLIFE),10729623.91,HDFCLIFE.NS
BRITANNIA,BRITANNIA INDUSTRIES LTD (XBOM:500825),10410689.06,BRITANNIA.NS
VEDL,Vedanta Limited (XNSE:VEDL),10201852.76,VEDL.NS
GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED (XNSE:GODREJCP),9901224.72,GODREJCP.NS
DABUR,DABUR INDIA LIMITED (XNSE:DABUR),9654339.12,DABUR.NS
ATGL,ADANI TOTAL GAS LIMITED (XNSE:ATGL),9543602,ATGL.NS
SHREECEM,SHREE CEMENT LIMITED (XNSE:SHREECEM),9448447.44,SHREECEM.NS
HAL,HINDUSTAN AERONAUTICS LIMITED (XNSE:HAL),9132457.01,HAL.NS
HINDALCO,HINDALCO INDUSTRIES LIMITED (XBOM:500440),9109003.25,HINDALCO.NS
VBL,VARUN BEVERAGES LIMITED (XNSE:VBL),9009369.9,VBL.NS
DLF,DLF Limited (XNSE:DLF),8829448.73,DLF.NS
BANKBARODA,THE BANK OF BARODA LIMITED (XNSE:BANKBARODA),8731845.04,BANKBARODA.NS
INDUSINDBK,INDUSIND BANK LTD. (XNSE:INDUSINDBK),8285787.88,INDUSINDBK.NS
EICHERMOT,EICHER MOTORS LIMITED (XNSE:EICHERMOT),8064561.28,EICHERMOT.NS
DRREDDY,Dr. Reddy's Laboratories Limited,7698120.14,DRREDDY.NS
DIVISLAB,DIVI'S LABORATORIES LIMITED (XNSE:DIVISLAB),7495107.15,DIVISLAB.NS
BPCL,BHARAT PETROLEUM CORPORATION LIMITED (XBOM:500547),7468737.2,BPCL.NS
HAVELLS,HAVELLS INDIA LIMITED (XBOM:517354),7446068.24,HAVELLS.NS
ADANIPOWER,ADANI POWER LIMITED (XNSE:ADANIPOWER),7389895.01,ADANIPOWER.NS
INDIGO,INTERGLOBE AVIATION LIMITED (XNSE:INDIGO),7366455.65,INDIGO.NS
CIPLA,CIPLA LIMITED (XNSE:CIPLA),7268331.09,CIPLA.NS
AMBUJACEM,AMBUJA CEMENTS LIMITED (XNSE:AMBUJACEM),7258526.13,AMBUJACEM.NS
SRF,SRF LIMITED (XNSE:SRF),7149322.14,SRF.NS
ABB,ABB India Limited (XNSE:ABB),7131034.68,ABB.NS
BEL,BHARAT ELECTRONICS LIMITED (XNSE:BEL),7130689.25,BEL.NS
SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED (XNSE:SBICARD),7002842.63,SBICARD.NS
GAIL,GAIL (India) Limited,6913717.28,GAIL.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited. (XNSE:BAJAJHLDNG),6588687.09,BAJAJHLDNG.NS
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM),6585299.08,TATACONSUM.NS
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED (XNSE:ICICIPRULI),6267855.57,ICICIPRULI.NS
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED (XNSE:CHOLAFIN),6258110.63,CHOLAFIN.NS
